Player,Salary,Team
Jrue Holiday," $11,286,518.00 ",NOH
Juan Hernangomez," $1,987,440.00 ",DEN
Julius Randle," $3,267,120.00 ",LAL
Julyan Stone," $50,000.00 ",IND
Justin Anderson," $1,514,160.00 ",PHI
Justin Hamilton," $3,000,000.00 ",NJN
Justin Harper," $57,672.00 ",PHI
Justin Holiday," $1,015,696.00 ",NYK
Justise Winslow," $2,593,440.00 ",MIA
Jusuf Nurkic," $1,921,320.00 ",POR
K.J. McDaniels," $3,333,333.00 ",NJN
Kaleb Tarczewski," $75,000.00 ",OKC
Karl-Anthony Towns," $5,960,160.00 ",MIN
Kawhi Leonard," $17,638,063.00 ",SAS
Kay Felder," $543,471.00 ",CLE
Keith Benson," $75,000.00 ",MIA
Kelly Olynyk," $3,094,014.00 ",BOS
Kelly Oubre," $2,006,640.00 ",WAS
Kemba Walker," $12,000,000.00 ",CHA
Kenneth Faried," $12,078,652.00 ",DEN
Kent Bazemore," $15,730,338.00 ",ATL
Kentavious Caldwell-Pope," $3,678,319.00 ",DET
Kevin Durant," $26,540,100.00 ",GSW
Kevin Garnett," $8,000,000.00 ",MIN
Kevin Love," $21,165,675.00 ",CLE
Kevin Martin," $1,360,305.00 ",MIN
Kevin Seraphin," $1,800,000.00 ",IND
Kevon Looney," $1,182,840.00 ",GSW
Khris Middleton," $15,200,000.00 ",MIL
Klay Thompson," $16,663,575.00 ",GSW
Kosta Koufos," $8,046,500.00 ",SAC
Kris Dunn," $3,872,520.00 ",MIN
Kris Humphries," $4,000,000.00 ",ATL
Kristaps Porzingis," $4,317,720.00 ",NYK
Kyle Anderson," $1,192,080.00 ",SAS
Kyle Collinsworth," $70,000.00 ",DAL
Kyle Korver," $5,239,437.00 ",CLE
Kyle Lowry," $12,000,000.00 ",TOR
Kyle O\'Quinn," $3,900,000.00 ",NYK
Kyle Singler," $4,837,500.00 ",OKC
Kyrie Irving," $17,638,063.00 ",CLE
Lamar Patterson," $128,623.00 ",ATL
Lamar Patterson," $100,000.00 ",SAC
LaMarcus Aldridge," $20,575,005.00 ",SAS
Lance Stephenson," $4,000,000.00 ",IND
Lance Stephenson," $1,227,286.00 ",NOH
Lance Stephenson," $144,386.00 ",MIN
Lance Thomas," $6,191,000.00 ",NYK
Langston Galloway," $5,200,000.00 ",SAC
Larry Nance Jr.," $1,207,680.00 ",LAL
Larry Sanders," $1,865,547.00 ",MIL
Larry Sanders," $207,722.00 ",CLE
Lavoy Allen," $4,000,000.00 ",IND
Leandro Barbosa," $4,000,000.00 ",PHO
LeBron James," $30,963,450.00 ",CLE
Livio Jean-Charles," $1,188,840.00 ",SAS
Lou Amundson," $1,551,659.00 ",NYK
Lou Williams," $7,000,000.00 ",HOU
Luc Mbah a Moute," $2,203,000.00 ",LAC
Lucas Nogueira," $1,921,320.00 ",TOR
Luis Scola," $5,000,000.00 ",NJN
Luke Babbitt," $1,227,000.00 ",MIA
Luol Deng," $18,000,000.00 ",LAL
Malachi Richardson," $1,439,880.00 ",SAC
Malcolm Brogdon," $925,000.00 ",MIL
Malcolm Delaney," $2,500,000.00 ",ATL
Malik Beasley," $1,627,320.00 ",DEN
Manny Harris," $119,494.00 ",DAL
Manu Ginobili," $14,000,000.00 ",SAS
Marc Gasol," $21,165,675.00 ",MEM
Marcelo Huertas," $1,500,000.00 ",HOU
Marcin Gortat," $12,000,000.00 ",WAS
Marco Belinelli," $6,333,333.00 ",CHA
Marcus Georges-Hunt," $31,969.00 ",MIA
Marcus Georges-Hunt," $31,969.00 ",ORL
Marcus Georges-Hunt," $25,000.00 ",BOS
Marcus Morris," $4,625,000.00 ",DET
Marcus Paige," $125,000.00 ",UTA
Marcus Smart," $3,578,880.00 ",BOS
Marcus Thornton," $1,315,448.00 ",NJN
Mario Hezonja," $3,909,840.00 ",ORL
Markieff Morris," $7,400,000.00 ",WAS
Marquese Chriss," $2,941,440.00 ",PHO
Marreese Speights," $1,403,611.00 ",LAC
Marshall Plumlee," $543,471.00 ",NYK
Martell Webster," $830,000.00 ",WAS
Marvin Williams," $12,250,000.00 ",CHA
Mason Plumlee," $2,328,530.00 ",DEN
Matt Barnes," $6,125,000.00 ",SAC
Matt Barnes," $383,351.00 ",GSW
Matt Costello," $50,000.00 ",ATL
Matt Costello," $31,500.00 ",MEM
Matthew Dellavedova," $9,607,500.00 ",MIL
Maurice Harkless," $8,988,764.00 ",POR
Maurice Ndour," $543,471.00 ",NYK
Maurice Ndour," $437,318.00 ",DAL
Metta World Peace," $1,551,659.00 ",LAL
Meyers Leonard," $9,213,484.00 ",POR
Michael Beasley," $1,403,611.00 ",MIL
Michael Beasley," $777,777.00 ",PHO
Michael Carter-Williams," $3,183,526.00 ",CHI
Michael Gbinije," $650,000.00 ",DET
Michael Kidd-Gilchrist," $13,000,000.00 ",CHA
Mike Conley," $26,540,100.00 ",MEM
Mike Dunleavy," $4,837,500.00 ",ATL
Mike Miller," $3,500,000.00 ",DEN
Mike Muscala," $1,015,696.00 ",ATL
Mike Scott," $3,333,334.00 ",PHO
Mike Tobey," $138,938.00 ",CHA
Miles Plumlee," $12,500,000.00 ",MIL
Mindaugas Kuzminskas," $2,898,000.00 ",NYK
Miroslav Raduljica," $300,000.00 ",LAC
Mirza Teletovic," $10,500,000.00 ",MIL
Mitch McGary," $1,526,040.00 ",OKC
Mo Williams," $2,200,000.00 ",DEN
Monta Ellis," $10,770,000.00 ",IND
Montrezl Harrell," $1,045,000.00 ",HOU
Myles Turner," $2,463,840.00 ",IND
Nate Wolters," $50,000.00 ",DEN
Nemanja Bjelica," $3,800,000.00 ",MIN
Nene Hilario," $2,898,000.00 ",HOU
Nerlens Noel," $4,384,490.00 ",DAL
Nick Collison," $3,750,000.00 ",OKC
Nick Johnson," $980,431.00 ",DEN
Nick Young," $5,443,918.00 ",LAL
Nick Zeisloft," $25,000.00 ",IND
Nicolas Batum," $20,869,566.00 ",CHA
Nicolas Brussino," $543,471.00 ",DAL
Nicolas Laprovittola," $210,995.00 ",SAS
Nik Stauskas," $2,993,040.00 ",PHI
Nikola Jokic," $1,358,500.00 ",DEN
Nikola Jovanovic," $30,000.00 ",DET
Nikola Mirotic," $5,782,450.00 ",CHI
Nikola Pekovic," $12,100,000.00 ",MIN
Nikola Vucevic," $11,750,000.00 ",ORL
Noah Vonleh," $2,751,360.00 ",POR
Norman Powell," $874,636.00 ",TOR
Norris Cole," $247,991.00 ",OKC
Okaro White," $374,933.00 ",MIA
Omer Asik," $9,904,494.00 ",NOH
Omri Casspi," $3,000,000.00 ",NOH
Omri Casspi," $138,414.00 ",MIN
Otto Porter," $5,893,981.00 ",WAS
P.J. Hairston," $11,534.00 ",HOU
P.J. Tucker," $5,300,000.00 ",TOR
