Player,Pos,Age,Tm,G,GS,MP,PER,FTr,TRB%,AST%,USG%,OWS,DWS,WS,VORP,FGA,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Sam Dekker,SF,22,HOU,77,2,1419,13,0.159,10.9,7.7,14.9,1.9,1.2,3.1,0.3,429,0.473,0.321,0.543,284,76,38,21,504
Sasha Vujacic,SG,32,NYK,42,4,408,8.6,0.176,7.8,17.9,17.3,-0.1,0.2,0.1,-0.2,136,0.309,0.311,0.393,59,52,13,2,124
Sean Kilpatrick,SG,27,BRK,70,24,1754,13.1,0.329,8.4,14.6,23.9,0.3,1.1,1.4,-0.4,735,0.415,0.341,0.486,280,157,46,6,919
Semaj Christon,PG,24,OKC,64,1,973,5.7,0.139,5,18.1,12.2,-0.7,0.8,0.1,-1.1,223,0.345,0.19,0.372,88,130,28,6,183
Serge Ibaka,PF,27,TOT,79,79,2422,16.4,0.127,12.2,5.2,20.9,2.5,2.6,5.1,1,982,0.48,0.391,0.543,538,75,41,124,1173
Sergio Rodriguez,PG,30,PHI,68,30,1518,11,0.05,5.7,35.4,19.3,-0.3,1,0.7,-0.7,536,0.392,0.365,0.478,157,344,48,4,530
Seth Curry,PG,26,DAL,70,42,2029,15.5,0.142,5.1,15.9,19.5,2.9,1.7,4.6,1.7,703,0.481,0.425,0.578,178,188,79,7,898
Shabazz Muhammad,SF,24,MIN,78,1,1516,14.9,0.318,8.5,3.7,21.5,2.5,0.2,2.7,-0.9,598,0.482,0.336,0.523,220,35,22,6,772
Shabazz Napier,PG,25,POR,53,2,512,13.6,0.268,6.6,19.5,21.2,0.1,0.5,0.6,0,183,0.399,0.37,0.492,61,67,32,2,218
Shaun Livingston,PG,31,GSW,76,3,1345,10.1,0.19,6.2,13.5,12.9,1.1,1.6,2.6,0,316,0.547,0.333,0.549,151,139,38,20,389
Shawn Long,C,24,PHI,18,0,234,24.1,0.321,20,10.7,25.4,0.6,0.3,0.9,0.3,109,0.56,0.368,0.592,85,13,9,9,148
Sheldon McClellan,SG,24,WAS,30,3,287,10.1,0.36,6.7,7,14,0.3,0.2,0.5,-0.1,75,0.4,0.233,0.447,34,15,8,2,90
Shelvin Mack,PG,26,UTA,55,9,1205,10.9,0.202,6.1,20.4,19.6,-0.1,1.5,1.4,0.1,381,0.446,0.308,0.495,128,154,42,3,430
Skal Labissiere,PF,20,SAC,33,12,612,16.8,0.339,15.3,7.5,21.3,0.7,0.5,1.3,-0.1,218,0.537,0.375,0.544,162,27,16,13,289
Solomon Hill,SF,25,NOP,80,71,2374,8,0.268,6.8,8.1,11.5,0.4,2.3,2.7,1,477,0.384,0.348,0.482,307,141,71,32,563
Spencer Dinwiddie,PG,23,BRK,59,18,1334,12.7,0.526,6.5,20.3,14.1,1.9,0.9,2.8,0.4,302,0.444,0.376,0.507,164,185,44,23,432
Spencer Hawes,PF,28,TOT,54,1,797,15.6,0.188,13.4,16.5,19.8,0.7,1,1.7,0.3,277,0.484,0.309,0.529,191,81,15,30,337
Stanley Johnson,SF,20,DET,77,1,1371,7.2,0.145,7.5,10.5,14.8,-1.4,1.8,0.4,0,365,0.353,0.292,0.415,189,105,56,24,339
