Player,Pos,Age,Tm,G,GS,MP,PER,FTr,TRB%,AST%,USG%,OWS,DWS,WS,WS/48,VORP,FGA,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Josh McRoberts,PF,29,MIA,22,14,381,9.8,0.076,10.7,18.9,16.9,-0.1,0.4,0.3,0.036,0,118,0.373,0.419,0.428,74,50,10,4,107
Jodie Meeks,SG,29,ORL,36,10,738,13.1,0.289,5.7,9.3,19.4,0.5,0.6,1.1,0.073,0,256,0.402,0.409,0.512,77,45,34,4,327
Salah Mejri,C,30,DAL,73,11,905,14.8,0.445,19.8,2.4,10.6,1.3,1.7,3,0.159,0.5,137,0.642,0.333,0.646,308,14,32,61,213
Jordan Mickey,PF,22,BOS,25,1,141,9.8,0.412,13.4,7.1,15.5,-0.1,0.2,0.1,0.036,-0.1,34,0.441,0,0.441,34,7,3,6,38
Khris Middleton,SF,25,MIL,29,23,889,15,0.276,8.1,17.5,22.5,0.7,0.9,1.6,0.085,0.3,333,0.45,0.433,0.518,123,99,41,7,426
C.J. Miles,SF,29,IND,76,29,1776,13.7,0.144,7.2,4.1,18.4,2.7,1.4,4,0.109,0.7,647,0.434,0.413,0.565,229,48,46,25,815
Mike Miller,SF,36,DEN,20,0,151,7.8,0.087,14.3,18.3,10.4,0,0.1,0.1,0.021,-0.1,23,0.391,0.4,0.565,39,22,2,0,28
Patty Mills,PG,28,SAS,80,8,1754,15.2,0.129,4.6,24.3,19.5,2.8,2.2,5.1,0.139,1.5,622,0.439,0.413,0.557,142,280,65,3,759
Elijah Millsap,SG,29,PHO,2,0,23,-3.4,0.286,14.2,5.6,18,-0.1,0,-0.1,-0.233,-0.1,7,0.143,0,0.143,6,1,0,0,3
Paul Millsap,PF,31,ATL,69,67,2343,17.8,0.417,12.5,17.9,24.4,2.6,3.8,6.4,0.132,2.7,972,0.442,0.311,0.481,533,252,90,62,1246
Nikola Mirotic,PF,25,CHI,70,15,1679,14.5,0.205,12.3,6.9,19.8,1.3,2.5,3.8,0.108,1,625,0.413,0.342,0.516,384,75,53,56,744
Greg Monroe,C,26,MIL,81,0,1823,21.1,0.329,17,17.3,24.3,3,2.6,5.6,0.147,1.9,726,0.533,0,0.533,532,187,92,38,951
E'Twaun Moore,SG,27,NOP,73,22,1820,12.1,0.12,4.4,13.8,17.4,1.2,1.5,2.7,0.07,0.3,619,0.457,0.37,0.519,152,164,50,32,700
Marcus Morris,SF,27,DET,79,79,2565,12.4,0.184,7.8,9.4,20.3,1.4,2.4,3.9,0.072,1,1007,0.418,0.331,0.477,366,160,52,25,1105
Markieff Morris,PF,27,WAS,76,76,2374,13.7,0.242,11.7,7.8,20.5,1.6,2.5,4.1,0.083,0.6,889,0.457,0.362,0.497,492,126,82,42,1063
Anthony Morrow,SG,31,TOT,49,7,714,10,0.147,2.4,5.2,16.4,0.7,0.5,1.2,0.083,-0.4,252,0.389,0.308,0.47,31,25,24,2,271
Anthony Morrow,SG,31,OKC,40,7,627,9.2,0.117,2.6,4.5,16.3,0.4,0.4,0.9,0.069,-0.4,223,0.386,0.294,0.464,29,19,22,2,230
Anthony Morrow,SG,31,CHI,9,0,87,16,0.379,1.2,10.4,17,0.3,0,0.3,0.19,0,29,0.414,0.429,0.517,2,6,2,0,41
Donatas Motiejunas,PF,26,NOP,34,0,479,9.2,0.355,11.1,10.3,17.6,-0.4,0.6,0.2,0.018,-0.1,138,0.413,0.234,0.453,101,34,18,11,150
Timofey Mozgov,C,30,LAL,54,52,1104,12.3,0.238,13.1,5.9,16.8,0.7,0.4,1.1,0.048,-0.4,328,0.515,0,0.515,264,43,16,31,401
Emmanuel Mudiay,PG,20,DEN,55,41,1406,10.9,0.303,7,21.8,22.6,-0.4,0.5,0.2,0.006,-0.6,551,0.377,0.315,0.428,178,217,41,13,603
Shabazz Muhammad,SF,24,MIN,78,1,1516,14.9,0.318,8.5,3.7,21.5,2.5,0.2,2.7,0.086,-0.9,598,0.482,0.336,0.523,220,35,22,6,772
Dejounte Murray,PG,20,SAS,38,8,322,9.6,0.259,7.4,22.6,23.5,-0.4,0.5,0,0.004,-0.2,116,0.431,0.391,0.47,42,48,8,6,130
Jamal Murray,SG,19,DEN,82,10,1764,11.9,0.164,6.7,14,21.6,0.6,0.7,1.4,0.037,-0.3,730,0.404,0.334,0.483,214,170,52,24,811
Mike Muscala,C,25,ATL,70,3,1237,14.4,0.19,10.7,11.9,14.8,1.8,1.6,3.4,0.132,1,337,0.504,0.418,0.573,240,95,30,41,435
Larry Nance,PF,24,LAL,63,7,1442,15.8,0.222,14,9.7,13.4,2.1,1.5,3.5,0.118,1.5,361,0.526,0.278,0.54,369,96,82,40,449
Shabazz Napier,PG,25,POR,53,2,512,13.6,0.268,6.6,19.5,21.2,0.1,0.5,0.6,0.06,0,183,0.399,0.37,0.492,61,67,32,2,218
Maurice Ndour,PF,24,NYK,32,4,331,11.3,0.302,10.4,3.5,14.3,0.1,0.3,0.4,0.059,-0.1,86,0.453,0.143,0.459,64,8,15,8,98
Gary Neal,SG,32,ATL,2,0,18,-4.3,0.571,3.1,7.1,21.2,-0.1,0,-0.1,-0.189,-0.1,7,0,0,0,1,1,0,0,4
Jameer Nelson,PG,34,DEN,75,39,2045,11.4,0.104,5.2,26,15.8,2.3,0.5,2.8,0.065,0,604,0.444,0.388,0.531,192,385,53,8,687
Raul Neto,PG,24,UTA,40,0,346,10.7,0.099,5,15.1,14.8,0.2,0.6,0.7,0.1,0.1,91,0.451,0.323,0.505,30,34,21,5,100
Georges Niang,PF,23,IND,23,0,93,0.1,0.056,10.3,7.5,20.2,-0.4,0.1,-0.3,-0.168,-0.2,36,0.25,0.083,0.264,17,5,3,0,21
Andrew Nicholson,PF,27,TOT,38,0,342,5.9,0.126,9.8,4.1,17,-0.5,0.4,-0.1,-0.019,-0.4,111,0.387,0.185,0.41,61,10,16,6,100
Andrew Nicholson,PF,27,WAS,28,0,231,6.3,0.156,8.3,4.2,17.6,-0.3,0.3,-0.1,-0.014,-0.2,77,0.39,0.188,0.409,34,7,11,6,70
Andrew Nicholson,PF,27,BRK,10,0,111,5,0.059,12.9,4,15.8,-0.2,0.1,-0.1,-0.031,-0.2,34,0.382,0.182,0.412,27,3,5,0,30
Joakim Noah,C,31,NYK,46,46,1015,15.2,0.388,21.3,14.1,12.5,1.1,1.2,2.3,0.107,1.1,201,0.493,0,0.493,402,103,30,37,232
Nerlens Noel,C,22,TOT,51,19,1047,20.4,0.359,15.9,8.1,17.6,2.1,1.9,4,0.182,1.4,309,0.595,0,0.595,294,50,65,51,445
Nerlens Noel,C,22,PHI,29,7,564,20.8,0.36,14.1,9,17.8,1.1,1,2.2,0.184,0.8,175,0.611,0,0.611,144,30,43,26,257
